t,x,y
2.8000000000000003,34.16118564420151,6.03254677358915
2.81,34.40139120843009,4.205131776164652
2.82,34.645023256621826,2.3015333471168375
2.83,34.89224382350146,0.315151601347722
2.84,35.14322536071399,-1.7612067306377597
2.85,35.39815073682478,-3.9353283027323407
2.86,35.65721443103304,-6.21577924067176
2.87,35.9206723788856,-8.618906194381795
2.88,36.188759875250085,-11.153583068703725
2.89,36.46173619356845,-13.828665911777698
2.9,36.73992679483257,-16.659834991176965
2.91,37.023723327584364,-19.66959479390882
2.92,37.31358362791569,-22.887274026413607
2.93,37.61003171946844,-26.349025614565768
2.94,37.91365781343442,-30.09782670367273
2.95,38.22511830855551,-34.18347865847611
2.96,38.54513579112348,-38.6626070631504
2.97,38.87452633066435,-43.602034601403766
2.98,39.21451704167853,-49.11791407289401
2.99,39.56662165476414,-55.36986626628095
3.0,39.93274858889108,-62.58801528958883
3.0100000000000002,40.31543304083677,-71.1108815842424
3.02,40.718395014160826,-81.54040210538403
3.0300000000000002,41.14713702867918,-94.96206804104166
3.04,41.61117682700733,-113.82726714825358
3.0500000000000003,42.130665727669886,-145.7896861596667
3.06,42.793302907959706,-316.27060421818584
